Syndicate_Number,Return_Type,Reporting_Quarter,Reporting_Year,Status,Edition,Managing_Agent_Name,First_Pure_YoA,First_Reporting_YoA,Final_Pure_YoA,Prospective_Year,Contact_Username,Contact_Name,Contact_Phone,Contact_Email,Submission_Date,As_At_Date,Capacity_GBP
2987,RRQ,Q3,2024,Submitted,1.1,Managing Agent 2987,2022,2022,2024,N/A,user2987,Contact Person 2987,+44 20 7823 4863,contact2987@lloyds.com,2025-11-21,2024-09-30,348145919
33,RRQ,Q3,2024,Submitted,1.1,Managing Agent 33,2022,2022,2024,N/A,user33,Contact Person 33,+44 20 7876 7240,contact33@lloyds.com,2025-11-21,2024-09-30,155260639
1183,RRQ,Q3,2024,Draft,1.1,Managing Agent 1183,2022,2022,2024,N/A,user1183,Contact Person 1183,+44 20 7819 3450,contact1183@lloyds.com,2025-11-21,2024-09-30,303932975
2791,RRQ,Q3,2024,Draft,1.1,Managing Agent 2791,2022,2022,2024,N/A,user2791,Contact Person 2791,+44 20 7180 7906,contact2791@lloyds.com,2025-11-21,2024-09-30,318219542
623,RRQ,Q3,2024,Draft,1.1,Managing Agent 623,2022,2022,2024,N/A,user623,Contact Person 623,+44 20 7914 9470,contact623@lloyds.com,2025-11-21,2024-09-30,336679717
4242,RRQ,Q3,2024,Approved,1.1,Managing Agent 4242,2022,2022,2024,N/A,user4242,Contact Person 4242,+44 20 7323 8972,contact4242@lloyds.com,2025-11-21,2024-09-30,211079625
5000,RRQ,Q3,2024,Submitted,1.1,Managing Agent 5000,2022,2022,2024,N/A,user5000,Contact Person 5000,+44 20 7575 1781,contact5000@lloyds.com,2025-11-21,2024-09-30,263890395
1910,RRQ,Q3,2024,Draft,1.1,Managing Agent 1910,2022,2022,2024,N/A,user1910,Contact Person 1910,+44 20 7707 3676,contact1910@lloyds.com,2025-11-21,2024-09-30,82231784
2010,RRQ,Q3,2024,Draft,1.1,Managing Agent 2010,2022,2022,2024,N/A,user2010,Contact Person 2010,+44 20 7833 5166,contact2010@lloyds.com,2025-11-21,2024-09-30,305840153
2525,RRQ,Q3,2024,Approved,1.1,Managing Agent 2525,2022,2022,2024,N/A,user2525,Contact Person 2525,+44 20 7098 8370,contact2525@lloyds.com,2025-11-21,2024-09-30,449750442
