Syndicate_Number,Return_Type,Reporting_Quarter,Reporting_Year,Status,Edition,Managing_Agent_Name,First_Pure_YoA,First_Reporting_YoA,Final_Pure_YoA,Prospective_Year,Contact_Username,Contact_Name,Contact_Phone,Contact_Email,Submission_Date,As_At_Date,Capacity_GBP
2987,RRQ,Q4,2024,Draft,1.1,Managing Agent 2987,2022,2022,2024,N/A,user2987,Contact Person 2987,+44 20 7196 1453,contact2987@lloyds.com,2025-11-21,2024-12-31,181848305
33,RRQ,Q4,2024,Submitted,1.1,Managing Agent 33,2022,2022,2024,N/A,user33,Contact Person 33,+44 20 7475 8952,contact33@lloyds.com,2025-11-21,2024-12-31,350553763
1183,RRQ,Q4,2024,Submitted,1.1,Managing Agent 1183,2022,2022,2024,N/A,user1183,Contact Person 1183,+44 20 7432 1606,contact1183@lloyds.com,2025-11-21,2024-12-31,158442828
2791,RRQ,Q4,2024,Draft,1.1,Managing Agent 2791,2022,2022,2024,N/A,user2791,Contact Person 2791,+44 20 7279 3235,contact2791@lloyds.com,2025-11-21,2024-12-31,65645423
623,RRQ,Q4,2024,Submitted,1.1,Managing Agent 623,2022,2022,2024,N/A,user623,Contact Person 623,+44 20 7808 5551,contact623@lloyds.com,2025-11-21,2024-12-31,403621147
4242,RRQ,Q4,2024,Approved,1.1,Managing Agent 4242,2022,2022,2024,N/A,user4242,Contact Person 4242,+44 20 7180 1691,contact4242@lloyds.com,2025-11-21,2024-12-31,437875275
5000,RRQ,Q4,2024,Submitted,1.1,Managing Agent 5000,2022,2022,2024,N/A,user5000,Contact Person 5000,+44 20 7801 1326,contact5000@lloyds.com,2025-11-21,2024-12-31,79703603
1910,RRQ,Q4,2024,Draft,1.1,Managing Agent 1910,2022,2022,2024,N/A,user1910,Contact Person 1910,+44 20 7321 5882,contact1910@lloyds.com,2025-11-21,2024-12-31,84135163
2010,RRQ,Q4,2024,Submitted,1.1,Managing Agent 2010,2022,2022,2024,N/A,user2010,Contact Person 2010,+44 20 7918 6954,contact2010@lloyds.com,2025-11-21,2024-12-31,410601197
2525,RRQ,Q4,2024,Approved,1.1,Managing Agent 2525,2022,2022,2024,N/A,user2525,Contact Person 2525,+44 20 7906 2479,contact2525@lloyds.com,2025-11-21,2024-12-31,263081406
